url,category_code,category_description,date_added,source,notes
https://www.ecuadortransparente.org,POLR,Political Criticism,2017-11-21,user definied,
http://4pelagatos.com,POLR,Political Criticism,2017-11-21,user definied,
http://www.planv.com.ec,POLR,Political Criticism,2017-11-21,user definied,
